adc_m,              01100000xxxxxxxx
adc_x;_o,           01100001xxxxxxxx
adc_s;_o,           01100010xxxxxxxx
adci_k,             01100011xxxxxxxx
add_m,              01101000xxxxxxxx
add_x;_o,           01101001xxxxxxxx
add_s;_o,           01101010xxxxxxxx
addi_k,             01101011xxxxxxxx
and_m,              01000100xxxxxxxx
and_x;_o,           01000101xxxxxxxx
and_s;_o,           01000110xxxxxxxx
andi_k,             01000111xxxxxxxx
asr,                0111000100000001
cmp_m,              00110000xxxxxxxx
cmp_x;_o,           00110001xxxxxxxx
cmp_s;_o,           00110010xxxxxxxx
cmpi_k,             00110011xxxxxxxx
dec,                0111101100000000
inc,                0000000000000000
lsl,                0101100000000000
lsr,                0111000100000000
neg,                0010011100000000
not,                0010110100000000
or_m,               01110100xxxxxxxx
or_x;_o,            01110101xxxxxxxx
or_s;_o,            01110110xxxxxxxx
ori_k,              01110111xxxxxxxx
rlc,                0101000000000000
rol,                0101001000000000
ror,                0111000100000010
rrc,                0111000100000011
sbb_m,              00011000xxxxxxxx
sbb_x;_o,           00011001xxxxxxxx
sbb_s;_o,           00011010xxxxxxxx
sbbi_k,             00011011xxxxxxxx
sub_m,              00010000xxxxxxxx
sub_x;_o,           00010001xxxxxxxx
sub_s;_o,           00010010xxxxxxxx
subi_k,             00010011xxxxxxxx
tst_m,              01001100xxxxxxxx
tst_x;_o,           01001101xxxxxxxx
tst_s;_o,           01001110xxxxxxxx
tsti_k,             01001111xxxxxxxx
xor_m,              00110100xxxxxxxx
xor_x;_o,           00110101xxxxxxxx
xor_s;_o,           00110110xxxxxxxx
xori_k,             00110111xxxxxxxx
sti,                0111111110000001
cli,                0000011101101001
stu,                0111111100100010
clu,                0000011111001010
stc,                0111111100001100
clc,                0000011111100100
tax,                0000011110000000
txa,                0110011100000001
inx,                0000010110000000
dex,                0000110110000000
tas,                0000011101010000
tsa,                0110011100000000
ins,                0000011001000000
des,                0000111001000000
ldi_k,              10001001xxxxxxxx
ldd_m,              10000000xxxxxxxx
ld_x+o,             10010111xxxxxxxx
ld_x++o,            10010110xxxxxxxx
ld_x-+o,            10011110xxxxxxxx
ld_+x+o,            10000110xxxxxxxx
ld_-x+o,            10001110xxxxxxxx
ld_s+o,             10010011xxxxxxxx
ld_s++o,            10010010xxxxxxxx
ld_s-+o,            10011010xxxxxxxx
ld_+s+o,            10000010xxxxxxxx
ld_-s+o,            10001010xxxxxxxx
std_m,              10100000xxxxxxxx
st_x+o,             10110111xxxxxxxx
st_x++o,            10110110xxxxxxxx
st_x-+o,            10111110xxxxxxxx
st_+x+o,            10100110xxxxxxxx
st_-x+o,            10101110xxxxxxxx
st_s+o,             10110011xxxxxxxx
st_s++o,            10110010xxxxxxxx
st_s-+o,            10111010xxxxxxxx
st_+s+o,            10100010xxxxxxxx
st_-s+o,            10101010xxxxxxxx
jmp_a,              110xxxxxxxxxxxxx
ja_r,               10001000xxxxxxxx
jae/jnc_r,          10001100xxxxxxxx
jb/jc_r,            10001111xxxxxxxx
jbe_r,              10001011xxxxxxxx
je/jz_r,            10011111xxxxxxxx
jg_r,               10101111xxxxxxxx
jge_r,              10111011xxxxxxxx
jl_r,               10111000xxxxxxxx
jle_r,              10101100xxxxxxxx
jne/jnz_r,          10011100xxxxxxxx
jns_r,              10011000xxxxxxxx
jnu_r,              10111100xxxxxxxx
jnv_r,              10101000xxxxxxxx
js_r,               10011011xxxxxxxx
ju_r,               10111111xxxxxxxx
jv_r,               10101011xxxxxxxx
call_a,             111xxxxxxxxxxxxx
rts,                0001111100000000
popf,               0000001000000000
pushf,              0000111000000000
in_p,               10010000xxxxxxxx
out_p,              10110000xxxxxxxx
nop,                0001111110000000
