adc_m,          0x100x00xxxxxxxx
adc_x;_o,       0xx00001xxxxxxxx
adc_s;_o,       0x100x10xxxxxxxx
adci_k,         0xx00011xxxxxxxx
add_m,          0x1x1x00xxxxxxxx
add_x;_o,       0xx01001xxxxxxxx
add_s;_o,       0x1x1x10xxxxxxxx
addi_k,         0xx01011xxxxxxxx
and_m,          0xx00100xxxxxxxx
and_x;_o,       010x0x01xxxxxxxx
and_s;_o,       01x00110xxxxxxxx
andi_k,         010x0x11xxxxxxxx
asr,            01x1x0xxxxxxxx01
cmp_m,          0x11x000xxxxxxxx
cmp_x;_o,       x01xx001xxxxxxxx
cmp_s;_o,       0x11x010xxxxxxxx
cmpi_k,         001xx011xxxxxxxx
dec,            0x1110xxxxxxxxxx
inc,            00x0xx00xxxxxxxx
lsl,            01x11xx0xxxxxxxx
lsr,            01x1x001xxxxxx00
neg,            x0100xx1xxxxxxxx
not,            001x1xxxxxxxxxxx
or_m,           01x1x100xxxxxxxx
or_x;_o,        01x1x101xxxxxxxx
or_s;_o,        01x1x110xxxxxxxx
ori_k,          01x10x11xxxxxxxx
rlc,            010x000xxxxxxxxx
rol,            010xx01xxxxxxxxx
ror,            01x1x0xxxxxxxx10
rrc,            01x1x0xxxxxxxx11
sbb_m,          00xx1x00xxxxxxxx
sbb_x;_o,       x0x11x01xxxxxxxx
sbb_s;_o,       0xx11x10xxxxxxxx
sbbi_k,         0x0x1011xxxxxxxx
sub_m,          00010x00xxxxxxxx
sub_x;_o,       x00x0001xxxxxxxx
sub_s;_o,       00010x10xxxxxxxx
subi_k,         0x0x0011xxxxxxxx
tst_m,          0xxx1100xxxxxxxx
tst_x;_o,       01xx1101xxxxxxxx
tst_s;_o,       01xx1110xxxxxxxx
tsti_k,         0xx01111xxxxxxxx
xor_m,          x0xx0100xxxxxxxx
xor_x;_o,       x0x1x101xxxxxxxx
xor_s;_o,       00x1x110xxxxxxxx
xori_k,         00x10111xxxxxxxx
sti,            0xx111xxxxxxxxx1
cli,            00x0xxxxxxxxxxx1
stu,            0xx111xxxxxxxx1x
clu,            00x0xxxxxxxxxx1x
stc,            0xx111xxxxxxx1xx
clc,            00x0xxxxxxxxx1xx
tax,            00x0xx1x10xxxxxx
txa,            0x10x1xxxxxxxxx1
inx,            x0x00x01xxxxxxxx
dex,            00x01xxx1xxxxxxx
tas,            00x0xxxxxxx1xxxx
tsa,            0110x1xxxxxxxxx0
ins,            00x00xx0x1xxxxxx
des,            00xx11xxx1xxxxxx
ldi_k,          10xxxx01xxxxxxxx
ldd_m,          10000x0xxxxxxxxx
ld_x+o,         x00101x1xxxxxxxx
ld_x++o,        x00101x0xxxxxxxx
ld_x-+o,        x0011110xxxxxxxx
ld_+x+o,        100001xxxxxxxxxx
ld_-x+o,        10001110xxxxxxxx
ld_s+o,         100x00x1xxxxxxxx
ld_s++o,        10010010xxxxxxxx
ld_s-+o,        10011010xxxxxxxx
ld_+s+o,        1000001xxxxxxxxx
ld_-s+o,        x0001010xxxxxxxx
std_m,          x0100x0xxxxxxxxx
st_x+o,         101x01x1xxxxxxxx
st_x++o,        101101x0xxxxxxxx
st_x-+o,        x0111110xxxxxxxx
st_+x+o,        x01001x0xxxxxxxx
st_-x+o,        x0101110xxxxxxxx
st_s+o,         101x00x1xxxxxxxx
st_s++o,        10110010xxxxxxxx
st_s-+o,        x0111010xxxxxxxx
st_+s+o,        x010001xxxxxxxxx
st_-s+o,        x0101010xxxxxxxx
jmp_a,          110xxxxxxxxxxxxx
ja_r,           x0001000xxxxxxxx
jae/jnc_r,      x000x100xxxxxxxx
jb/jc_r,        1000x1x1xxxxxxxx
jbe_r,          x000x011xxxxxxxx
je/jz_r,        100111x1xxxxxxxx
jg_r,           1010x1x1xxxxxxxx
jge_r,          x01110x1xxxxxxxx
jl_r,           x011100xxxxxxxxx
jle_r,          x010x100xxxxxxxx
jne/jnz_r,      x001x10xxxxxxxxx
jns_r,          1001100xxxxxxxxx
jnu_r,          x011110xxxxxxxxx
jnv_r,          x010100xxxxxxxxx
js_r,           100110x1xxxxxxxx
ju_r,           x01111x1xxxxxxxx
jv_r,           x010x0x1xxxxxxxx
call_a,         111xxxxxxxxxxxxx
rts,            0x01x1xx0xxxxxxx
popf,           0x00x01xxxxxxxxx
pushf,          00xx11x0x0xxxxxx
in_p,           10010x0xxxxxxxxx
out_p,          10110x0xxxxxxxxx
nop,            0x01x1xx1xxxxxxx
