rts_i,      0001  0001111100000000
rts_2,      0100  0001111100000000
ja_o,       xxxx  10001000xxxxxxxx
jae/jnc_o,  xxxx  10001100xxxxxxxx
jb/jc_o,    xxxx  10001111xxxxxxxx
jbe_o,      xxxx  10001011xxxxxxxx
je/jz_o,    xxxx  10011111xxxxxxxx
jg_o,       xxxx  10101111xxxxxxxx
jge_o,      xxxx  10111011xxxxxxxx
jl_o,       xxxx  10111000xxxxxxxx
jle_o,      xxxx  10101100xxxxxxxx
jne/jnz_o,  xxxx  10011100xxxxxxxx
jns_o,      xxxx  10011000xxxxxxxx
jnu_o,      xxxx  10111100xxxxxxxx
jnv_o,      xxxx  10101000xxxxxxxx
js_o,       xxxx  10011011xxxxxxxx
ju_o,       xxxx  10111111xxxxxxxx
jv_o,       xxxx  10101011xxxxxxxx
