inc,       0001 0000000000000000
popf,      0001 0000001000000000
ins,       0001 0000011001000000
inx,       0001 0000010110000000
cli,       0001 0000011101101001
clu,       0001 0000011111001010
clc,       0001 0000011111100100
tas,       0001 0000011101010000
tax,       0001 0000011110000000
dex,       0001 0000110110000000
pushf,     0001 0000111000000000
des,       0001 0000111001000000
sub_o,     0001 00010000xxxxxxxx
sub_x_o,   0001 00010001xxxxxxxx
subi_k,    0001 00010011xxxxxxxx
sub_s_o,   0001 00010010xxxxxxxx
rts_i,     0001 0001111100000000
rts_2,     0100 0001111100000000
rts_1,     0010 0001111100000000
nop,       0001 0001111110000000
sbb_o,     0001 00011000xxxxxxxx
sbb_x_o,   0001 00011001xxxxxxxx
sbbi_k,    0001 00011011xxxxxxxx
sbb_s_o,   0001 00011010xxxxxxxx
cmp_o,     0001 00110000xxxxxxxx
cmp_x_o,   0001 00110001xxxxxxxx
cmpi_k,    0001 00110011xxxxxxxx
cmp_s_o,   0001 00110010xxxxxxxx
xor_s_o,   0001 00110110xxxxxxxx
xori_k,    0001 00110111xxxxxxxx
xor_x_o,   0001 00110101xxxxxxxx
xor_o,     0001 00110100xxxxxxxx
neg,       0001 0010011100000000
not,       0001 0010110100000000
adc_o,     0001 01100000xxxxxxxx
adc_x_o,   0001 01100001xxxxxxxx
adci_k,    0001 01100011xxxxxxxx
adc_s_o,   0001 01100010xxxxxxxx
tsa,       0001 0110011100000000
txa,       0001 0110011100000001
add_s_o,   0001 01101010xxxxxxxx
addi_k,    0001 01101011xxxxxxxx
add_x_o,   0001 01101001xxxxxxxx
add_o,     0001 01101000xxxxxxxx
lsr,       0001 0111000100000000
asr,       0001 0111000100000001
ror,       0001 0111000100000010
rrc,       0001 0111000100000011
or_s_o,    0001 01110110xxxxxxxx
ori_k,     0001 01110111xxxxxxxx
or_x_o,    0001 01110101xxxxxxxx
or_o,      0001 01110100xxxxxxxx
stc,       0001 0111111100001100
stu,       0001 0111111100100010
sti,       0001 0111111110000001
dec,       0001 0111101100000000
rlc,       0001 0101000000000000
rol,       0001 0101001000000000
lsl,       0001 0101100000000000
and_s_o,   0001 01000110xxxxxxxx
andi_k,    0001 01000111xxxxxxxx
and_x_o,   0001 01000101xxxxxxxx
and_o,     0001 01000100xxxxxxxx
tst_o,     0001 01001100xxxxxxxx
tst_x_o,   0001 01001101xxxxxxxx
tsti_k,    0001 01001111xxxxxxxx
tst_s_o,   0001 01001110xxxxxxxx
jmp_a,     0001 110xxxxxxxxxxxxx
call_i_a,  0001 111xxxxxxxxxxxxx
call_3_a,  1000 111xxxxxxxxxxxxx
call_2_a,  0100 111xxxxxxxxxxxxx
call_1_a,  0010 111xxxxxxxxxxxxx
out_p,     0001 10110000xxxxxxxx
std_o,     0001 10100000xxxxxxxx
st_s_o,    0001 10110011xxxxxxxx
st_s+_o,   0001 10110010xxxxxxxx
st_+s_o,   0001 10100010xxxxxxxx
st_s-_o,   0001 10111010xxxxxxxx
st_-s_o,   0001 10101010xxxxxxxx
st_x_o,    0001 10110111xxxxxxxx
st_x+_o,   0001 10110110xxxxxxxx
st_+x_o,   0001 10100110xxxxxxxx
st_x-_o,   0001 10111110xxxxxxxx
st_-x_o,   0001 10101110xxxxxxxx
ldi_k,     0001 10001001xxxxxxxx
in_p,      0001 10010000xxxxxxxx
ldd_o,     0001 10000000xxxxxxxx
ld_x_o,    0001 10010111xxxxxxxx
ld_x+_o,   0001 10010110xxxxxxxx
ld_+x_o,   0001 10000110xxxxxxxx
ld_x-_o,   0001 10011110xxxxxxxx
ld_-x_o,   0001 10001110xxxxxxxx
ld_s_o,    0001 10010011xxxxxxxx
ld_s+_o,   0001 10010010xxxxxxxx
ld_+s_o,   0001 10000010xxxxxxxx
ld_s-_o,   0001 10011010xxxxxxxx
ld_-s_o,   0001 10001010xxxxxxxx
ja_o,      0001 10001000xxxxxxxx
jae/jnc_o, 0001 10001100xxxxxxxx
jb/jc_o,   0001 10001111xxxxxxxx
jbe_o,     0001 10001011xxxxxxxx
je/jz_o,   0001 10011111xxxxxxxx
jg_o,      0001 10101111xxxxxxxx
jge_o,     0001 10111011xxxxxxxx
jl_o,      0001 10111000xxxxxxxx
jle_o,     0001 10101100xxxxxxxx
jne/jnz_o, 0001 10011100xxxxxxxx
jns_o,     0001 10011000xxxxxxxx
jnu_o,     0001 10111100xxxxxxxx
jnv_o,     0001 10101000xxxxxxxx
js_o,      0001 10011011xxxxxxxx
ju_o,      0001 10111111xxxxxxxx
jv_o,      0001 10101011xxxxxxxx
