inc,       00000000
popf,      00000010
ins,       00000110
inx,       00000101
cli,       00000111
clu,       00000111
clc,       00000111
tas,       00000111
tax,       00000111
dex,       00001101
pushf,     00001110
des,       00001110
sub_o,     00010000
sub_x_o,   00010001
subi_k,    00010011
sub_s_o,   00010010
rts,       00011111
nop,       00011111
sbb_o,     00011000
sbb_x_o,   00011001
sbbi_k,    00011011
sbb_s_o,   00011010
cmp_o,     00110000
cmp_x_o,   00110001
cmpi_k,    00110011
cmp_s_o,   00110010
xor_s_o,   00110110
xori_k,    00110111
xor_x_o,   00110101
xor_o,     00110100
neg,       00100111
not,       00101101
adc_o,     01100000
adc_x_o,   01100001
adci_k,    01100011
adc_s_o,   01100010
tsa,       01100111
txa,       01100111
add_s_o,   01101010
addi_k,    01101011
add_x_o,   01101001
add_o,     01101000
lsr,       01110001
asr,       01110001
ror,       01110001
rrc,       01110001
or_s_o,    01110110
ori_k,     01110111
or_x_o,    01110101
or_o,      01110100
stc,       01111111
stu,       01111111
sti,       01111111
dec,       01111011
rlc,       01010000
rol,       01010010
lsl,       01011000
and_s_o,   01000110
andi_k,    01000111
and_x_o,   01000101
and_o,     01000100
tst_o,     01001100
tst_x_o,   01001101
tsti_k,    01001111
tst_s_o,   01001110
jmp_a,     110xxxxx
call_a,    111xxxxx
out_p,     10110000
std_o,     10100000
st_s_o,    10110011
st_s+_o,   10110010
st_+s_o,   10100010
st_s-_o,   10111010
st_-s_o,   10101010
st_x_o,    10110111
st_x+_o,   10110110
st_+x_o,   10100110
st_x-_o,   10111110
st_-x_o,   10101110
ldi_k,     10001001
in_p,      10010000
ldd_o,     10000000
ld_x_o,    10010111
ld_x+_o,   10010110
ld_+x_o,   10000110
ld_x-_o,   10011110
ld_-x_o,   10001110
ld_s_o,    10010011
ld_s+_o,   10010010
ld_+s_o,   10000010
ld_s-_o,   10011010
ld_-s_o,   10001010
ja_o,      10001000
jae/jnc_o, 10001100
jb/jc_o,   10001111
jbe_o,     10001011
je/jz_o,   10011111
jg_o,      10101111
jge_o,     10111011
jl_o,      10111000
jle_o,     10101100
jne/jnz_o, 10011100
jns_o,     10011000
jnu_o,     10111100
jnv_o,     10101000
js_o,      10011011
ju_o,      10111111
jv_o,      10101011
